,Date,Name,Symbol,Marketcap_in_dollar,Price_in_dollar,Circulating_supply_in_BTC,1hour_chg_per,24hour_chg_per,7day_chg_per
0,2013-05-05,Bitcoin,BTC,"$1,288,693,216.22",$115.91,"11,118,050 BTC",0.43%,0.43%,-13.81%
1,2013-05-12,Bitcoin,BTC,"$1,281,982,625.00",$115.00,"11,147,675 BTC",-0.03%,-0.03%,-1.88%
2,2013-05-19,Bitcoin,BTC,"$1,363,205,019.90",$121.99,"11,174,725 BTC",-0.35%,-0.35%,5.70%
3,2013-05-26,Bitcoin,BTC,"$1,495,292,967.14",$133.48,"11,202,375 BTC",-1.16%,-1.16%,9.61%
4,2013-06-02,Bitcoin,BTC,"$1,373,839,383.45",$122.29,"11,234,075 BTC",1.00%,1.00%,-9.13%
5,2013-06-09,Bitcoin,BTC,"$1,126,642,500.00",$100.00,"11,266,425 BTC",-2.04%,-2.04%,-16.89%
6,2013-06-16,Bitcoin,BTC,"$1,124,306,468.29",$99.51,"11,298,425 BTC",-0.01%,-0.01%,-1.32%
7,2013-06-23,Bitcoin,BTC,"$1,218,626,731.94",$107.60,"11,325,525 BTC",-0.27%,-0.27%,7.69%
8,2013-06-30,Bitcoin,BTC,"$1,096,957,926.58",$96.61,"11,354,025 BTC",-0.53%,-0.53%,-9.91%
9,2013-07-07,Bitcoin,BTC,"$848,838,935.56",$74.56,"11,384,475 BTC",1.27%,1.27%,-23.21%
10,2013-07-14,Bitcoin,BTC,"$1,080,918,189.52",$94.69,"11,415,175 BTC",1.13%,1.13%,26.85%
11,2013-07-21,Bitcoin,BTC,"$1,038,799,169.95",$90.76,"11,445,900 BTC",0.48%,0.48%,-3.89%
12,2013-07-28,Bitcoin,BTC,"$1,144,602,625.00",$99.76,"11,474,025 BTC",-0.07%,-0.07%,10.61%
13,2013-08-04,Bitcoin,BTC,"$1,209,792,869.08",$105.14,"11,506,100 BTC",-0.05%,-0.05%,6.11%
14,2013-08-11,Bitcoin,BTC,"$1,211,789,250.00",$105.00,"11,540,850 BTC",0.11%,0.11%,-0.51%
15,2013-08-18,Bitcoin,BTC,"$1,313,544,012.50",$113.50,"11,573,075 BTC",-0.16%,-0.16%,8.50%
16,2013-08-25,Bitcoin,BTC,"$1,417,199,162.92",$122.11,"11,605,825 BTC",-0.13%,-0.13%,6.85%
17,2013-09-01,Bitcoin,BTC,"$1,610,215,304.37",$138.34,"11,639,550 BTC",0.09%,0.09%,13.16%
18,2013-09-08,Bitcoin,BTC,"$1,419,836,114.24",$121.66,"11,670,525 BTC",0.61%,0.61%,-11.89%
19,2013-09-15,Bitcoin,BTC,"$1,526,085,088.84",$130.37,"11,705,800 BTC",0.13%,0.13%,7.45%
20,2013-09-22,Bitcoin,BTC,"$1,515,584,678.69",$129.12,"11,737,800 BTC",0.29%,0.29%,-1.03%
21,2013-09-29,Bitcoin,BTC,"$1,616,584,461.39",$137.34,"11,770,675 BTC",-0.35%,-0.35%,6.69%
22,2013-10-06,Bitcoin,BTC,"$1,522,686,975.00",$129.00,"11,803,775 BTC",0.16%,0.16%,-5.84%
23,2013-10-13,Bitcoin,BTC,"$1,634,968,896.30",$138.13,"11,836,450 BTC",-0.30%,-0.30%,7.12%
24,2013-10-20,Bitcoin,BTC,"$2,073,319,147.25",$174.61,"11,874,000 BTC",0.39%,0.39%,25.56%
25,2013-10-27,Bitcoin,BTC,"$2,339,831,246.08",$196.44,"11,911,175 BTC",1.65%,1.65%,12.45%
26,2013-11-03,Bitcoin,BTC,"$2,568,713,147.70",$215.05,"11,944,725 BTC",0.77%,0.77%,11.20%
27,2013-11-10,Bitcoin,BTC,"$3,910,613,036.04",$326.62,"11,972,975 BTC",0.78%,0.78%,52.60%
28,2013-11-17,Bitcoin,BTC,"$5,907,841,887.89",$492.11,"12,005,125 BTC",-1.31%,-1.31%,55.65%
29,2013-11-24,Bitcoin,BTC,"$9,317,034,156.25",$774.25,"12,033,625 BTC",-0.89%,-0.89%,57.66%
30,2013-12-01,Bitcoin,BTC,"$11,531,708,652.96",$955.85,"12,064,350 BTC",0.94%,0.94%,22.10%
31,2013-12-08,Bitcoin,BTC,"$9,627,500,053.68",$795.87,"12,096,825 BTC",0.71%,0.71%,-17.53%
32,2013-12-15,Bitcoin,BTC,"$10,625,517,591.78",$876.12,"12,127,925 BTC",0.08%,0.08%,11.75%
33,2013-12-22,Bitcoin,BTC,"$7,505,757,333.43",$617.18,"12,161,375 BTC",-0.68%,-0.68%,-29.26%
34,2013-12-29,Bitcoin,BTC,"$9,082,103,472.45",$745.05,"12,189,925 BTC",-0.10%,-0.10%,17.84%
35,2014-01-05,Bitcoin,BTC,"$11,379,661,042.38",$933.53,"12,189,925 BTC",0.25%,0.25%,25.84%
36,2014-01-12,Bitcoin,BTC,"$10,578,652,838.47",$863.22,"12,254,875 BTC",-0.62%,-0.62%,-8.53%
37,2014-01-19,Bitcoin,BTC,"$10,699,504,355.93",$870.96,"12,284,725 BTC",2.11%,2.11%,1.02%
38,2014-01-26,Bitcoin,BTC,"$10,902,798,992.81",$885.28,"12,315,650 BTC",0.41%,0.41%,2.79%
39,2014-02-02,Bitcoin,BTC,"$10,190,038,593.97",$825.37,"12,346,025 BTC",-0.03%,-0.03%,-6.75%
40,2014-02-09,Bitcoin,BTC,"$8,451,229,252.14",$682.90,"12,375,500 BTC",-0.06%,-0.06%,-17.30%
41,2014-02-16,Bitcoin,BTC,"$7,650,358,897.33",$616.63,"12,406,725 BTC",2.62%,2.62%,-10.93%
